college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
rupandehi campus,siddharthanagar bhairahawa siddharthanagar rupandehi,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,071521572,rupandehicampusgmailcom,34,1,853
mandavya multiple campus,madanpokhara tansen palpa,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,075690368,,34,1,577
uma badi adarsha sherchan college,dibyanagar bharatpur chitwan,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,056620721,,34,1,308
pashupati college,madhawaliya4 kotihawa madhawaliya tillotama rupandehi,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,97771560791,,34,1,578
janamukhi aadarsha college,amarapuri 4 amarapuri gaidakot nawalpur,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,12
bansgadhi multiple campus,motipur bansagadhi bardiya,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,,,34,1,653
galyang multiple campus,galyang bazar galyang galyang syangja,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of education general med master of business studies mbs ma in sociology,community institution,063460256 460303,,34,1,346
parroha multiple campus,murgiya ramnagar sainamaina rupandehi,tribhuvan university,bachelor of business studies bbs,community institution,071440369,infoparrohamcedunp,34,1,656
janta sudarshan campus,thuli pokhari kushma parbat,tribhuvan university,bachelor of education bed bachelor of business studies bbs bachelor of arts ba,community institution,067690282,,34,1,938
nawalpur multiple campus,agyauli kawasoti nawalpur,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,078620677,,34,1,10
palhi multiple campus,ramgram ramgram parasi,national examinations board,bachelor of education bed bachelor of business studies bbs ten plus two 2 management 2 mangement ten plus two 2 education 2 education,community institution,078520147,,24,1,764
chandrodaya multiple campus,benighat8 benighat benighat rorang dhading,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,110
yerawati aadarsha multiple campus,lalmatiya rapti dang,tribhuvan university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba,community institution,82695151 82580274,,34,1,555
janjyoti campus gulmi,purkordaha madane gulmi,tribhuvan university,bachelor of education bed,community institution,079690630,,34,1,740
manka tikaram multiple campus,turang majuwa turang chandrakot gulmi,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,9747033789,,34,1,959
machchhindra multiple campus,naubise khanikhola naubise dhunibesi dhading,tribhuvan university,bachelor of arts ba bachelor of business studies bbs,community institution,,,34,1,666
ishaneshwar campus,bhorletar madhyanepal lamjung,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,061690575,,34,1,154
rameswar campus,mamling dharmadevi sankhuwasabha,tribhuvan university,bachelor of education bed,community institution,,,34,1,609
kumari namuna campus,kumari3 belkotgadhi nuwakot,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,535
dhunibesi adarsha campus,jeevanpur6 jeevanpur dhunibesi dhading,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,438
painyu multiple campus,painyu parbat,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,9847717751,,34,1,693
uma katwal campus,nishankhe thulachhap nishankhe siddhicharan okhaldhunga,tribhuvan university,bachelor of education bed,community institution,,,34,1,685
kulung multiple campus,kulung salpasilichho bhojpur,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,534
laxmi campus,baniyani kachankawal jhapa,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,75
tharpu campus,tharpu yangwarak panchthar,tribhuvan university,bachelor of education bed,community institution,,,34,1,935
gyan jyoti community campus,phulawari champadevi okhaldhunga,tribhuvan university,bachelor of education bed,community institution,,,34,1,723
kailashkut multiple campus,mitrapark kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities bachelor of business studies bbs bachelor of arts ba,community institution,014465707,kailashkutmultiplecollegegmailcom,24,1,650
jagriti campus,goldhap haldibari jhapa,tribhuvan university,bachelor of education bed,community institution,,,34,1,375
